sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
47904,0.0032711029052734375,2,2,180,294,90.0,0.0,147.0,35.35533905932738,0.0001201629638671875,0.0,1222.8291545189504,0.0,0.0,1.0,0.0,64,0
55373,0.01129603385925293,2,2,214,312,107.0,0.0,156.0,46.66904755831214,0.00011205673217773438,0.0,354.10658730661265,0.0,0.0,0.0,0.0,64,0
50692,0.002569913864135742,1,1,89,105,89.0,0.0,105.0,0.0,0.0,0.0,778.2362000185545,0.0,0.0,1.0,0.0,64,0
46597,0.002146005630493164,1,1,68,84,68.0,0.0,84.0,0.0,0.0,0.0,931.9640039995556,0.0,0.0,1.0,1.0,64,0
52502,0.00333404541015625,2,2,150,326,75.0,0.0,163.0,33.94112549695428,0.0008101463317871094,0.0,1199.7437070938215,0.0,0.0,1.0,0.0,64,0
54273,0.011256933212280273,2,2,196,269,98.0,0.0,134.5,28.991378028648448,0.00029206275939941406,0.0,355.33656676903524,0.0,0.0,1.0,0.0,64,0
45313,0.014876842498779297,2,2,158,494,79.0,0.0,247.0,79.19595949289332,0.00010991096496582031,0.0,268.87425879034583,0.0,0.0,1.0,0.0,64,0
46756,0.0026171207427978516,2,2,184,520,92.0,0.0,260.0,79.19595949289332,0.0001430511474609375,0.0,1528.3971941331877,0.0,0.0,1.0,0.0,64,0
41569,0.011240959167480469,1,1,79,119,79.0,0.0,119.0,0.0,0.0,0.0,177.92076015949775,0.0,0.0,1.0,0.0,64,0
38511,0.002532958984375,1,1,75,91,75.0,0.0,91.0,0.0,0.0,0.0,789.5903614457832,0.0,0.0,1.0,1.0,64,0
53870,0.009703874588012695,2,2,152,240,76.0,0.0,120.0,8.48528137423857,0.00016188621520996094,0.0,412.20648141323306,0.0,0.0,1.0,0.0,64,0
