sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
60689,0.010767221450805664,2,2,184,504,92.0,0.0,252.0,67.88225099390856,0.00010204315185546875,0.0,371.49788534354866,0.0,0.0,1.0,0.0,64,1
60858,0.01108098030090332,2,2,184,504,92.0,0.0,252.0,67.88225099390856,0.0001049041748046875,0.0,360.97889278567897,0.0,0.0,1.0,0.0,64,1
53149,0.013597965240478516,2,2,184,504,92.0,0.0,252.0,67.88225099390856,0.00027298927307128906,0.0,294.1616579584108,0.0,0.0,1.0,0.0,64,1
50774,0.010499000549316406,2,2,178,222,89.0,0.0,111.0,8.48528137423857,9.584426879882812e-05,0.0,380.9886456535562,0.0,0.0,1.0,0.0,64,1
37013,0.00255584716796875,2,2,150,326,75.0,0.0,163.0,33.94112549695428,0.00011491775512695312,0.0,1565.0388059701493,0.0,0.0,1.0,0.0,64,1
40163,0.011038064956665039,2,2,178,222,89.0,0.0,111.0,8.48528137423857,0.000102996826171875,0.0,362.3823573881677,0.0,0.0,1.0,0.0,64,1
39385,0.0031528472900390625,2,2,158,250,79.0,0.0,125.0,8.48528137423857,9.989738464355469e-05,0.0,1268.6944948578343,0.0,0.0,1.0,0.0,64,1
60424,0.009653091430664062,2,2,158,494,79.0,0.0,247.0,79.19595949289332,7.510185241699219e-05,0.0,414.37502469867616,0.0,0.0,1.0,0.0,64,1
34551,0.009554862976074219,2,2,150,194,75.0,0.0,97.0,8.48528137423857,4.100799560546875e-05,0.0,418.63499351232656,0.0,0.0,1.0,0.5,64,1
35971,0.016061067581176758,2,2,150,194,75.0,0.0,97.0,8.48528137423857,6.604194641113281e-05,0.0,249.0494470422326,0.0,0.0,1.0,0.5,64,1
42619,0.0025479793548583984,2,2,150,194,75.0,0.0,97.0,8.48528137423857,6.29425048828125e-05,0.0,1569.8714325816413,0.0,0.0,1.0,0.5,64,1
46116,0.010623931884765625,2,2,178,222,89.0,0.0,111.0,8.48528137423857,0.00010800361633300781,0.0,376.5084380610413,0.0,0.0,1.0,0.0,64,1
48487,0.010512113571166992,2,2,150,194,75.0,0.0,97.0,8.48528137423857,1.811981201171875e-05,0.0,380.51339275589123,0.0,0.0,1.0,0.5,64,1
59492,0.010917901992797852,2,2,150,194,75.0,0.0,97.0,8.48528137423857,7.605552673339844e-05,0.0,366.37075535562207,0.0,0.0,1.0,0.5,64,1
32973,0.0027930736541748047,2,2,178,222,89.0,0.0,111.0,8.48528137423857,0.00011396408081054688,0.0,1432.114041826718,0.0,0.0,1.0,0.0,64,1
43176,0.01108098030090332,2,2,152,240,76.0,0.0,120.0,8.48528137423857,0.0001239776611328125,0.0,360.97889278567897,0.0,0.0,1.0,0.0,64,1
