sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
23204,0.0067479610443115234,1,1,97,161,97.0,0.0,161.0,0.0,0.0,0.0,296.38582482422356,0.0,0.0,1.0,0.0,64,0
7394,0.0017020702362060547,1,1,84,180,84.0,0.0,180.0,0.0,0.0,0.0,1175.0396414063594,0.0,0.0,1.0,0.0,64,0
5368,0.01038503646850586,1,1,82,176,82.0,0.0,176.0,0.0,0.0,0.0,192.5847835070481,0.0,0.0,1.0,0.0,64,0
31323,0.002562999725341797,1,1,77,93,77.0,0.0,93.0,0.0,0.0,0.0,780.3356279069767,0.0,0.0,1.0,1.0,64,0
3340,0.005198955535888672,1,1,86,321,86.0,0.0,321.0,0.0,0.0,0.0,384.6926533981473,0.0,0.0,1.0,0.0,64,0
1536,0.0014200210571289062,1,1,74,90,74.0,0.0,90.0,0.0,0.0,0.0,1408.4298186702486,0.0,0.0,1.0,1.0,64,0
9259,0.005115985870361328,1,1,81,285,81.0,0.0,285.0,0.0,0.0,0.0,390.93149408146144,0.0,0.0,1.0,0.0,64,0
18739,0.001577138900756836,1,1,79,95,79.0,0.0,95.0,0.0,0.0,0.0,1268.1191232048375,0.0,0.0,1.0,1.0,64,0
24903,0.0020720958709716797,1,1,93,146,93.0,0.0,146.0,0.0,0.0,0.0,965.2063053733748,0.0,0.0,1.0,0.0,64,0
25847,0.0013720989227294922,1,1,82,98,82.0,0.0,98.0,0.0,0.0,0.0,1457.620851433536,0.0,0.0,1.0,1.0,64,0
24492,0.009094953536987305,1,1,79,174,79.0,0.0,174.0,0.0,0.0,0.0,219.90216792932603,0.0,0.0,1.0,0.0,64,0
30558,0.002104043960571289,1,1,81,97,81.0,0.0,97.0,0.0,0.0,0.0,950.5504815864023,0.0,0.0,1.0,1.0,64,0
35879,0.028365135192871094,1,1,81,209,81.0,0.0,209.0,0.0,0.0,0.0,70.50909457687523,0.0,0.0,1.0,0.0,64,0
35879,0.0059909820556640625,1,1,81,209,81.0,0.0,209.0,0.0,0.0,0.0,333.83508436803567,0.0,0.0,1.0,0.0,64,0
32071,0.0014162063598632812,1,1,107,155,107.0,0.0,155.0,0.0,0.0,0.0,1412.223569023569,0.0,0.0,0.0,0.0,64,0
23550,0.0015511512756347656,1,1,74,90,74.0,0.0,90.0,0.0,0.0,0.0,1289.3648939440516,0.0,0.0,1.0,1.0,64,0
29715,0.0024919509887695312,1,1,82,176,82.0,0.0,176.0,0.0,0.0,0.0,802.584003061615,0.0,0.0,1.0,0.0,64,0
21742,0.002095937728881836,1,1,74,90,74.0,0.0,90.0,0.0,0.0,0.0,954.2268228870436,0.0,0.0,1.0,1.0,64,0
