sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
55113,0.0014729499816894531,1,1,94,254,94.0,0.0,254.0,0.0,0.0,0.0,1357.8193590158628,0.0,0.0,1.0,0.0,64,1
38569,0.0024881362915039062,1,1,125,209,125.0,0.0,209.0,0.0,0.0,0.0,803.8144883096973,0.0,0.0,0.0,0.0,64,1
43663,0.0017728805541992188,1,1,94,202,94.0,0.0,202.0,0.0,0.0,0.0,1128.1075847229692,0.0,0.0,1.0,0.0,64,1
44879,0.0025730133056640625,1,1,94,254,94.0,0.0,254.0,0.0,0.0,0.0,777.2987398072646,0.0,0.0,1.0,0.0,64,1
38292,0.0031518936157226562,1,1,125,209,125.0,0.0,209.0,0.0,0.0,0.0,634.5391830559757,0.0,0.0,0.0,0.0,64,1
50981,0.0010159015655517578,1,1,94,202,94.0,0.0,202.0,0.0,0.0,0.0,1968.694672612063,0.0,0.0,1.0,0.0,64,1
60015,0.0022830963134765625,1,1,79,147,79.0,0.0,147.0,0.0,0.0,0.0,876.0033416875522,0.0,0.0,1.0,0.0,64,1
60541,0.0017130374908447266,1,1,79,95,79.0,0.0,95.0,0.0,0.0,0.0,1167.5167710508003,0.0,0.0,1.0,1.0,64,1
49465,0.0016069412231445312,1,1,94,254,94.0,0.0,254.0,0.0,0.0,0.0,1244.60059347181,0.0,0.0,1.0,0.0,64,1
36535,0.003317117691040039,1,1,125,209,125.0,0.0,209.0,0.0,0.0,0.0,602.933084165888,0.0,0.0,0.0,0.0,64,1
43673,0.0021209716796875,1,1,94,202,94.0,0.0,202.0,0.0,0.0,0.0,942.9640287769785,0.0,0.0,1.0,0.0,64,1
60692,0.0015358924865722656,1,1,94,254,94.0,0.0,254.0,0.0,0.0,0.0,1302.174479975163,0.0,0.0,1.0,0.0,64,1
51807,0.001386880874633789,1,1,125,209,125.0,0.0,209.0,0.0,0.0,0.0,1442.084923500086,0.0,0.0,0.0,0.0,64,1
33820,0.0014810562133789062,1,1,94,202,94.0,0.0,202.0,0.0,0.0,0.0,1350.3876368319382,0.0,0.0,1.0,0.0,64,1
