sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
59456,0.0029480457305908203,1,1,91,178,91.0,0.0,178.0,0.0,0.0,0.0,678.4155276991509,0.0,0.0,1.0,0.0,64,1
56350,0.002496957778930664,1,1,91,249,91.0,0.0,249.0,0.0,0.0,0.0,800.974696839492,0.0,0.0,1.0,0.0,64,1
41756,0.0015039443969726562,1,1,73,112,73.0,0.0,112.0,0.0,0.0,0.0,1329.8363982244769,0.0,0.0,1.0,0.0,64,1
55723,0.002599954605102539,1,1,91,249,91.0,0.0,249.0,0.0,0.0,0.0,769.2441999082989,0.0,0.0,1.0,0.0,64,1
49681,0.0025599002838134766,1,1,91,178,91.0,0.0,178.0,0.0,0.0,0.0,781.2804321505076,0.0,0.0,1.0,0.0,64,1
54642,0.0026559829711914062,1,1,86,244,86.0,0.0,244.0,0.0,0.0,0.0,753.0168761220826,0.0,0.0,1.0,0.0,64,1
56693,0.003442049026489258,1,1,86,173,86.0,0.0,173.0,0.0,0.0,0.0,581.0492484588211,0.0,0.0,1.0,0.0,64,1
50981,0.005048990249633789,1,1,90,177,90.0,0.0,177.0,0.0,0.0,0.0,396.11880814090756,0.0,0.0,1.0,0.0,64,1
46464,0.0022280216217041016,1,1,85,243,85.0,0.0,243.0,0.0,0.0,0.0,897.6573568753344,0.0,0.0,1.0,0.0,64,1
49090,0.0032761096954345703,1,1,85,172,85.0,0.0,172.0,0.0,0.0,0.0,610.4801688377847,0.0,0.0,1.0,0.0,64,1
52385,0.0025870800018310547,1,1,90,248,90.0,0.0,248.0,0.0,0.0,0.0,773.0723435628053,0.0,0.0,1.0,0.0,64,1
43472,0.002515077590942383,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,795.204095174898,0.0,0.0,0.0,0.0,64,1
49498,0.0023751258850097656,1,1,86,244,86.0,0.0,244.0,0.0,0.0,0.0,842.0606303955029,0.0,0.0,1.0,0.0,64,1
57409,0.0020449161529541016,1,1,86,173,86.0,0.0,173.0,0.0,0.0,0.0,978.035210446543,0.0,0.0,1.0,0.0,64,1
51398,0.0056002140045166016,1,1,88,246,88.0,0.0,246.0,0.0,0.0,0.0,357.129209417174,0.0,0.0,1.0,0.0,64,1
58408,0.005146980285644531,1,1,88,175,88.0,0.0,175.0,0.0,0.0,0.0,388.57735779136556,0.0,0.0,1.0,0.0,64,1
54776,0.0020711421966552734,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,965.6507424887764,0.0,0.0,0.0,0.0,64,1
47397,0.0021009445190429688,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,951.9527916477531,0.0,0.0,0.0,0.0,64,1
58888,0.0026209354400634766,1,1,87,217,87.0,0.0,217.0,0.0,0.0,0.0,763.0863276630583,0.0,0.0,1.0,0.0,64,1
49739,0.002731800079345703,1,1,87,229,87.0,0.0,229.0,0.0,0.0,0.0,732.1179961598883,0.0,0.0,1.0,0.0,64,1
43499,0.0022840499877929688,1,1,87,217,87.0,0.0,217.0,0.0,0.0,0.0,875.6375782881003,0.0,0.0,1.0,0.0,64,1
55976,0.017414093017578125,1,1,87,229,87.0,0.0,229.0,0.0,0.0,0.0,114.84950711938664,0.0,0.0,1.0,0.0,64,1
48166,0.009296894073486328,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,215.12560906806175,0.0,0.0,1.0,0.0,64,1
51505,0.008146047592163086,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,245.5178388503527,0.0,0.0,1.0,0.0,64,1
45124,0.002001047134399414,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,999.476706779459,0.0,0.0,1.0,0.0,64,1
41654,0.006163120269775391,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,324.5109477756286,0.0,0.0,1.0,0.0,64,1
50461,0.0033960342407226562,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,588.9222128615557,0.0,0.0,1.0,0.0,64,1
44581,0.0021359920501708984,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,936.3330728875991,0.0,0.0,1.0,0.0,64,1
58777,0.0021550655364990234,1,1,86,244,86.0,0.0,244.0,0.0,0.0,0.0,928.0460227901317,0.0,0.0,1.0,0.0,64,1
43872,0.0024268627166748047,1,1,86,173,86.0,0.0,173.0,0.0,0.0,0.0,824.1092445230377,0.0,0.0,1.0,0.0,64,1
49572,0.0026650428771972656,2,2,150,320,75.0,0.0,160.0,18.384776310850235,9.799003601074219e-05,0.0,1500.913938092682,0.0,0.0,1.0,0.0,64,1
