sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
52401,0.08685016632080078,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0008511543273925781,0.0,46.05633091392241,0.0,0.0,0.0,0.0,64,0
50034,0.08609199523925781,2,2,144,266,72.0,0.0,133.0,4.242640687119285,9.799003601074219e-05,0.0,46.46192702217693,0.0,0.0,1.0,0.0,64,0
53700,0.08814215660095215,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00010609626770019531,0.0,45.381235883633806,0.0,0.0,1.0,0.0,64,0
41019,0.08908510208129883,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0012290477752685547,0.0,44.900885855747354,0.0,0.0,0.0,0.0,64,0
46176,0.08607792854309082,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00010013580322265625,0.0,46.46951974451372,0.0,0.0,1.0,0.0,64,0
44326,0.08622598648071289,2,2,220,432,110.0,0.0,216.0,14.142135623730951,9.393692016601562e-05,0.0,46.38972731143788,0.0,0.0,0.0,0.0,64,0
58508,0.0860910415649414,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00011205673217773438,0.0,46.46244170460714,0.0,0.0,1.0,0.0,64,0
33901,0.08611607551574707,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.00010204315185546875,0.0,46.44893506867444,0.0,0.0,0.0,0.0,64,0
47090,0.08806586265563965,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.00013399124145507812,0.0,45.42055093062606,0.0,0.0,0.0,0.0,64,0
57598,0.08604288101196289,2,2,144,266,72.0,0.0,133.0,4.242640687119285,9.083747863769531e-05,0.0,46.488448003546786,0.0,0.0,1.0,0.0,64,0
54289,0.1016380786895752,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.013336896896362305,0.0,39.35532874658985,0.0,0.0,1.0,0.0,64,0
49963,0.08688497543334961,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0009748935699462891,0.0,46.03787916207035,0.0,0.0,0.0,0.0,64,0
50681,0.09089303016662598,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0027871131896972656,0.0,44.00777477290791,0.0,0.0,0.0,0.0,64,0
58033,0.08925604820251465,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.0010950565338134766,0.0,44.814890201326506,0.0,0.0,1.0,0.0,64,0
59948,0.0861508846282959,2,2,220,432,110.0,0.0,216.0,14.142135623730951,9.799003601074219e-05,0.0,46.43016745861965,0.0,0.0,0.0,0.0,64,0
39499,0.08809494972229004,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00013899803161621094,0.0,45.40555403697459,0.0,0.0,1.0,0.0,64,0
38820,0.08809208869934082,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0001239776611328125,0.0,45.4070287021124,0.0,0.0,0.0,0.0,64,0
54709,0.08612203598022461,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0001239776611328125,0.0,46.44572036033243,0.0,0.0,0.0,0.0,64,0
51671,0.08800315856933594,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00010395050048828125,0.0,45.45291402067665,0.0,0.0,1.0,0.0,64,0
52530,0.08583903312683105,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00011992454528808594,0.0,46.598847334286944,0.0,0.0,1.0,0.0,64,0
51368,0.08603811264038086,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.00010013580322265625,0.0,46.49102446864522,0.0,0.0,0.0,0.0,64,0
33930,0.0882420539855957,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.0001480579376220703,0.0,45.32986052945849,0.0,0.0,1.0,0.0,64,0
49408,0.0861060619354248,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.00010609626770019531,0.0,46.45433678060667,0.0,0.0,0.0,0.0,64,0
35440,0.08800816535949707,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.0001380443572998047,0.0,45.450328201488354,0.0,0.0,1.0,0.0,64,0
39524,0.08809018135070801,2,2,220,432,110.0,0.0,216.0,14.142135623730951,9.417533874511719e-05,0.0,45.40801186542058,0.0,0.0,0.0,0.0,64,0
53043,0.08796811103820801,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0001251697540283203,0.0,45.471022996761214,0.0,0.0,0.0,0.0,64,0
44520,0.08893299102783203,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.0008828639984130859,0.0,44.977684364041906,0.0,0.0,1.0,0.0,64,0
51976,0.08610391616821289,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.00013589859008789062,0.0,46.45549445376662,0.0,0.0,0.0,0.0,64,0
32820,0.08608698844909668,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00011897087097167969,0.0,46.46462923215398,0.0,0.0,1.0,0.0,64,0
56712,0.0859370231628418,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.00011491775512695312,0.0,46.545712811350384,0.0,0.0,0.0,0.0,64,0
45844,0.08614110946655273,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00011610984802246094,0.0,46.435436283220135,0.0,0.0,1.0,0.0,64,0
47082,0.08811402320861816,2,2,220,432,110.0,0.0,216.0,14.142135623730951,9.202957153320312e-05,0.0,45.39572538334366,0.0,0.0,0.0,0.0,64,0
47554,0.09221887588500977,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.006249904632568359,0.0,43.375067865582196,0.0,0.0,1.0,0.0,64,0
42279,0.08600592613220215,2,2,220,432,110.0,0.0,216.0,14.142135623730951,9.202957153320312e-05,0.0,46.50842308065477,0.0,0.0,0.0,0.0,64,0
55236,0.08608794212341309,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00010895729064941406,0.0,46.46411450125873,0.0,0.0,1.0,0.0,64,0
38648,5.189499855041504,4,3,440,658,110.0,0.0,219.33333333333334,11.547005383792513,1.701136271158854,2.8681586059867143,1.3488775788671867,0.0,1.6860251906996595,0.0,0.0,64,0
