sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
50734,0.0021409988403320312,1,1,89,105,89.0,0.0,105.0,0.0,0.0,0.0,934.143429844098,0.0,0.0,1.0,0.0,64,0
51510,0.0010409355163574219,1,1,89,105,89.0,0.0,105.0,0.0,0.0,0.0,1921.3486028401283,0.0,0.0,1.0,0.0,64,0
61332,0.002421140670776367,1,1,89,117,89.0,0.0,117.0,0.0,0.0,0.0,826.0569177744953,0.0,0.0,1.0,0.0,64,0
51114,0.014538049697875977,1,1,89,117,89.0,0.0,117.0,0.0,0.0,0.0,137.57003460321104,0.0,0.0,1.0,0.0,64,0
0,258.1515369415283,22,0,4494,0,204.27272727272725,77.86385053912515,0.0,0.0,12.292930330548966,37.01499771935623,0.08522126290878149,3.6847447720207205,3.0110800861996956,0.0,0.0,64,0
53951,0.0072290897369384766,1,1,68,84,68.0,0.0,84.0,0.0,0.0,0.0,276.66000461726196,0.0,0.0,1.0,1.0,64,0
65038,0.0071620941162109375,1,1,68,84,68.0,0.0,84.0,0.0,0.0,0.0,279.2479360852197,0.0,0.0,1.0,1.0,64,0
60199,0.002665996551513672,1,1,68,96,68.0,0.0,96.0,0.0,0.0,0.0,750.1885172598819,0.0,0.0,1.0,1.0,64,0
58529,0.0013229846954345703,1,1,68,96,68.0,0.0,96.0,0.0,0.0,0.0,1511.7332852766265,0.0,0.0,1.0,1.0,64,0
64612,0.011222124099731445,1,1,92,300,92.0,0.0,300.0,0.0,0.0,0.0,178.21938005906222,0.0,0.0,1.0,0.0,64,0
59045,0.01349496841430664,1,1,92,284,92.0,0.0,284.0,0.0,0.0,0.0,148.20338503939792,0.0,0.0,1.0,0.0,64,0
50454,0.01017904281616211,1,1,92,204,92.0,0.0,204.0,0.0,0.0,0.0,196.48212863634234,0.0,0.0,1.0,0.0,64,0
55691,0.01602005958557129,1,1,92,204,92.0,0.0,204.0,0.0,0.0,0.0,124.84348071971783,0.0,0.0,1.0,0.0,64,0
49775,0.009805917739868164,1,1,79,119,79.0,0.0,119.0,0.0,0.0,0.0,203.95847212429186,0.0,0.0,1.0,0.0,64,0
55431,0.0024878978729248047,1,1,79,119,79.0,0.0,119.0,0.0,0.0,0.0,803.8915189266891,0.0,0.0,1.0,0.0,64,0
65045,0.002070903778076172,1,1,79,131,79.0,0.0,131.0,0.0,0.0,0.0,965.7619157264563,0.0,0.0,1.0,0.0,64,0
57431,0.00347900390625,1,1,79,131,79.0,0.0,131.0,0.0,0.0,0.0,574.8771929824561,0.0,0.0,1.0,0.0,64,0
55818,0.002424955368041992,1,1,76,121,76.0,0.0,121.0,0.0,0.0,0.0,824.757447645266,0.0,0.0,1.0,0.0,64,0
52492,0.0032129287719726562,1,1,76,121,76.0,0.0,121.0,0.0,0.0,0.0,622.4850103888394,0.0,0.0,1.0,0.0,64,0
61302,0.0030579566955566406,1,1,76,133,76.0,0.0,133.0,0.0,0.0,0.0,654.0314985186341,0.0,0.0,1.0,0.0,64,0
54444,0.009844064712524414,1,1,76,133,76.0,0.0,133.0,0.0,0.0,0.0,203.16810772845068,0.0,0.0,1.0,0.0,64,0
53924,0.012626886367797852,1,1,90,314,90.0,0.0,314.0,0.0,0.0,0.0,158.39217537433206,0.0,0.0,1.0,0.0,64,0
60731,0.010372161865234375,1,1,90,330,90.0,0.0,330.0,0.0,0.0,0.0,192.82383229128357,0.0,0.0,1.0,0.0,64,0
59108,0.013364076614379883,1,1,90,202,90.0,0.0,202.0,0.0,0.0,0.0,149.6549337234403,0.0,0.0,1.0,0.0,64,0
50791,0.010686159133911133,1,1,90,202,90.0,0.0,202.0,0.0,0.0,0.0,187.15798398072332,0.0,0.0,1.0,0.0,64,0
0,297.28573083877563,9,0,2050,0,227.77777777777777,87.47396438051977,0.0,0.0,37.160716354846954,77.36193288380055,0.030273905089917993,3.754795680635617,2.0818202788415854,0.0,0.0,64,0
