sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
29331,0.0033071041107177734,1,1,82,176,82.0,0.0,176.0,0.0,0.0,0.0,604.7587052123134,0.0,0.0,1.0,0.0,64,1
25574,0.0009849071502685547,1,1,77,93,77.0,0.0,93.0,0.0,0.0,0.0,2000.0,0.0,0.0,1.0,1.0,64,1
21906,0.0074160099029541016,1,1,97,161,97.0,0.0,161.0,0.0,0.0,0.0,269.6868027648288,0.0,0.0,1.0,0.0,64,1
19298,0.0020990371704101562,1,1,82,98,82.0,0.0,98.0,0.0,0.0,0.0,952.8178100863244,0.0,0.0,1.0,1.0,64,1
4670,0.001611948013305664,1,1,81,97,81.0,0.0,97.0,0.0,0.0,0.0,1240.7348025440024,0.0,0.0,1.0,1.0,64,1
21847,0.0013937950134277344,1,1,84,180,84.0,0.0,180.0,0.0,0.0,0.0,1434.9312350325008,0.0,0.0,1.0,0.0,64,1
28081,0.0022678375244140625,1,1,81,285,81.0,0.0,285.0,0.0,0.0,0.0,881.8973927670311,0.0,0.0,1.0,0.0,64,1
5257,0.002129077911376953,1,1,93,151,93.0,0.0,151.0,0.0,0.0,0.0,939.3737961926092,0.0,0.0,1.0,0.0,64,1
17623,0.004837989807128906,1,1,86,278,86.0,0.0,278.0,0.0,0.0,0.0,413.39483540311454,0.0,0.0,1.0,0.0,64,1
20630,0.0013680458068847656,1,1,74,90,74.0,0.0,90.0,0.0,0.0,0.0,1461.9393516904845,0.0,0.0,1.0,1.0,64,1
27901,0.0024499893188476562,1,1,79,95,79.0,0.0,95.0,0.0,0.0,0.0,816.3300895289996,0.0,0.0,1.0,1.0,64,1
32778,0.017557144165039062,1,1,79,174,79.0,0.0,174.0,0.0,0.0,0.0,113.91374253123303,0.0,0.0,1.0,0.0,64,1
15586,0.011214971542358398,1,1,82,176,82.0,0.0,176.0,0.0,0.0,0.0,178.33304279427708,0.0,0.0,1.0,0.0,64,1
