sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
57185,0.004606008529663086,1,1,76,128,76.0,0.0,128.0,0.0,0.0,0.0,434.21543558155184,0.0,0.0,1.0,0.0,64,1
51862,0.017261028289794922,1,1,82,98,82.0,0.0,98.0,0.0,0.0,0.0,115.8679521533744,0.0,0.0,1.0,1.0,64,1
35370,0.21358418464660645,1,1,82,98,82.0,0.0,98.0,0.0,0.0,0.0,9.363989207858125,0.0,0.0,1.0,1.0,64,1
36807,0.0018241405487060547,1,1,88,245,88.0,0.0,245.0,0.0,0.0,0.0,1096.4067442164423,0.0,0.0,1.0,0.0,64,1
39844,0.0021309852600097656,1,1,122,206,122.0,0.0,206.0,0.0,0.0,0.0,938.5330051465652,0.0,0.0,0.0,0.0,64,1
33774,0.0014231204986572266,1,1,88,209,88.0,0.0,209.0,0.0,0.0,0.0,1405.3623722566595,0.0,0.0,1.0,0.0,64,1
44123,0.015637874603271484,1,1,82,98,82.0,0.0,98.0,0.0,0.0,0.0,127.89461808202469,0.0,0.0,1.0,1.0,64,1
42244,0.01692795753479004,1,1,82,98,82.0,0.0,98.0,0.0,0.0,0.0,118.14774439796622,0.0,0.0,1.0,1.0,64,1
47147,0.0027360916137695312,1,1,86,102,86.0,0.0,102.0,0.0,0.0,0.0,730.9696758452423,0.0,0.0,1.0,0.0,64,1
46796,0.002065896987915039,1,1,88,245,88.0,0.0,245.0,0.0,0.0,0.0,968.1024812463935,0.0,0.0,1.0,0.0,64,1
48037,0.0013790130615234375,1,1,122,206,122.0,0.0,206.0,0.0,0.0,0.0,1450.3125864453666,0.0,0.0,0.0,0.0,64,1
53767,0.0013899803161621094,1,1,88,209,88.0,0.0,209.0,0.0,0.0,0.0,1438.8692967409947,0.0,0.0,1.0,0.0,64,1
36756,0.0031461715698242188,1,1,86,102,86.0,0.0,102.0,0.0,0.0,0.0,635.6932403758715,0.0,0.0,1.0,0.0,64,1
57031,0.002164125442504883,1,1,88,245,88.0,0.0,245.0,0.0,0.0,0.0,924.1608460945246,0.0,0.0,1.0,0.0,64,1
45530,0.0024449825286865234,1,1,122,206,122.0,0.0,206.0,0.0,0.0,0.0,818.0017552413457,0.0,0.0,0.0,0.0,64,1
54999,0.0021228790283203125,1,1,88,209,88.0,0.0,209.0,0.0,0.0,0.0,942.1168014375562,0.0,0.0,1.0,0.0,64,1
38952,0.0017819404602050781,1,1,88,245,88.0,0.0,245.0,0.0,0.0,0.0,1122.3719561145303,0.0,0.0,1.0,0.0,64,1
53634,0.002084970474243164,1,1,122,206,122.0,0.0,206.0,0.0,0.0,0.0,959.2461978273299,0.0,0.0,0.0,0.0,64,1
50967,0.0013899803161621094,1,1,88,209,88.0,0.0,209.0,0.0,0.0,0.0,1438.8692967409947,0.0,0.0,1.0,0.0,64,1
44783,0.0016851425170898438,1,1,88,245,88.0,0.0,245.0,0.0,0.0,0.0,1186.8432371250708,0.0,0.0,1.0,0.0,64,1
49101,0.002933979034423828,1,1,122,206,122.0,0.0,206.0,0.0,0.0,0.0,681.6681293677881,0.0,0.0,0.0,0.0,64,1
39145,0.001329183578491211,1,1,88,209,88.0,0.0,209.0,0.0,0.0,0.0,1504.6830493273542,0.0,0.0,1.0,0.0,64,1
54287,0.0014200210571289062,1,1,88,245,88.0,0.0,245.0,0.0,0.0,0.0,1408.4298186702486,0.0,0.0,1.0,0.0,64,1
34962,0.003158092498779297,1,1,122,206,122.0,0.0,206.0,0.0,0.0,0.0,633.29367356183,0.0,0.0,0.0,0.0,64,1
38783,0.002126932144165039,1,1,88,209,88.0,0.0,209.0,0.0,0.0,0.0,940.3214886223518,0.0,0.0,1.0,0.0,64,1
38102,0.0020728111267089844,1,1,88,245,88.0,0.0,245.0,0.0,0.0,0.0,964.8732459167242,0.0,0.0,1.0,0.0,64,1
36034,0.0021359920501708984,1,1,122,206,122.0,0.0,206.0,0.0,0.0,0.0,936.3330728875991,0.0,0.0,0.0,0.0,64,1
53103,0.0020880699157714844,1,1,88,209,88.0,0.0,209.0,0.0,0.0,0.0,957.8223338661795,0.0,0.0,1.0,0.0,64,1
48228,0.0020720958709716797,1,1,88,245,88.0,0.0,245.0,0.0,0.0,0.0,965.2063053733748,0.0,0.0,1.0,0.0,64,1
55803,0.0017170906066894531,1,1,122,206,122.0,0.0,206.0,0.0,0.0,0.0,1164.7608997500695,0.0,0.0,0.0,0.0,64,1
57953,0.0013689994812011719,1,1,88,209,88.0,0.0,209.0,0.0,0.0,0.0,1460.9209334726577,0.0,0.0,1.0,0.0,64,1
47010,0.0009701251983642578,1,1,88,245,88.0,0.0,245.0,0.0,0.0,0.0,2000.0,0.0,0.0,1.0,0.0,64,1
50358,0.0024480819702148438,1,1,122,206,122.0,0.0,206.0,0.0,0.0,0.0,816.9661082976237,0.0,0.0,0.0,0.0,64,1
58317,0.0014519691467285156,1,1,88,209,88.0,0.0,209.0,0.0,0.0,0.0,1377.43973727422,0.0,0.0,1.0,0.0,64,1
