sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
51779,0.00261688232421875,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,764.268221574344,0.0,0.0,1.0,0.0,64,1
53905,0.0056798458099365234,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,352.12223481509466,0.0,0.0,1.0,0.0,64,1
55037,0.0024559497833251953,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,814.3488981652267,0.0,0.0,1.0,0.0,64,1
33584,0.005319118499755859,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,376.0021515015688,0.0,0.0,1.0,0.0,64,1
34391,0.0022001266479492188,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,909.0385782401387,0.0,0.0,1.0,0.0,64,1
58975,0.0032930374145507812,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,607.34202143064,0.0,0.0,1.0,0.0,64,1
40127,0.0025451183319091797,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,785.8180796252927,0.0,0.0,1.0,0.0,64,1
34956,0.005680084228515625,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,352.10745466756214,0.0,0.0,1.0,0.0,64,1
34334,0.013267993927001953,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,150.738688230009,0.0,0.0,1.0,0.0,64,1
52242,0.001722097396850586,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,1161.3744981309706,0.0,0.0,1.0,0.0,64,1
47009,0.0069539546966552734,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,287.6061302156547,0.0,0.0,1.0,0.0,64,1
46838,0.006596088409423828,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,303.2100050603629,0.0,0.0,1.0,0.0,64,1
34808,0.003342866897583008,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,598.2888524356323,0.0,0.0,1.0,0.0,64,1
50961,0.006090879440307617,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,328.35980741378637,0.0,0.0,1.0,0.0,64,1
48360,0.002023935317993164,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,988.1738720697373,0.0,0.0,1.0,0.0,64,1
35863,0.002084970474243164,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,959.2461978273299,0.0,0.0,1.0,0.0,64,1
49214,0.002156972885131836,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,927.2253785785343,0.0,0.0,1.0,0.0,64,1
53522,0.002501964569091797,1,1,76,221,76.0,0.0,221.0,0.0,0.0,0.0,799.3718315227749,0.0,0.0,1.0,0.0,64,1
40828,0.002566099166870117,1,1,100,228,100.0,0.0,228.0,0.0,0.0,0.0,779.3931060113351,0.0,0.0,1.0,0.0,64,1
