sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
55734,0.011378049850463867,2,2,184,552,92.0,0.0,276.0,101.82337649086284,9.894371032714844e-05,0.0,351.55409341407704,0.0,0.0,1.0,0.0,64,1
48401,0.010939836502075195,2,2,184,504,92.0,0.0,252.0,67.88225099390856,6.794929504394531e-05,0.0,365.6361774000218,0.0,0.0,1.0,0.0,64,1
34132,0.01539301872253418,2,2,184,552,92.0,0.0,276.0,101.82337649086284,0.00010895729064941406,0.0,259.85806111859733,0.0,0.0,1.0,0.0,64,1
58523,0.010993003845214844,2,2,178,222,89.0,0.0,111.0,8.48528137423857,0.00010800361633300781,0.0,363.86778867007894,0.0,0.0,1.0,0.0,64,1
48991,0.0024650096893310547,2,2,150,326,75.0,0.0,163.0,33.94112549695428,0.00012803077697753906,0.0,1622.711674243157,0.0,0.0,1.0,0.0,64,1
37327,0.010622978210449219,2,2,178,222,89.0,0.0,111.0,8.48528137423857,0.00014901161193847656,0.0,376.5422389801598,0.0,0.0,1.0,0.0,64,1
46146,0.01195383071899414,2,2,158,250,79.0,0.0,125.0,8.48528137423857,0.00010395050048828125,0.0,334.6207666839523,0.0,0.0,1.0,0.0,64,1
59504,0.008596181869506836,2,2,158,478,79.0,0.0,239.0,67.88225099390856,0.00010514259338378906,0.0,465.3228678407988,0.0,0.0,1.0,0.0,64,1
47296,0.013632059097290039,2,2,150,194,75.0,0.0,97.0,8.48528137423857,5.793571472167969e-05,0.0,293.4259579901009,0.0,0.0,1.0,0.5,64,1
42683,0.01283407211303711,2,2,150,194,75.0,0.0,97.0,8.48528137423857,0.00010395050048828125,0.0,311.6703696823333,0.0,0.0,1.0,0.5,64,1
50095,0.010637044906616211,2,2,150,194,75.0,0.0,97.0,8.48528137423857,6.413459777832031e-05,0.0,376.04429003698306,0.0,0.0,1.0,0.5,64,1
48609,0.013409852981567383,2,2,178,222,89.0,0.0,111.0,8.48528137423857,0.00014495849609375,0.0,298.28813227842477,0.0,0.0,1.0,0.0,64,1
39903,0.014081954956054688,2,2,150,194,75.0,0.0,97.0,8.48528137423857,0.00011682510375976562,0.0,284.05146959230666,0.0,0.0,1.0,0.5,64,1
44521,0.01152181625366211,2,2,150,194,75.0,0.0,97.0,8.48528137423857,6.580352783203125e-05,0.0,347.16748748085917,0.0,0.0,1.0,0.5,64,1
47302,0.01324915885925293,2,2,178,222,89.0,0.0,111.0,8.48528137423857,0.00011014938354492188,0.0,301.90595814363604,0.0,0.0,1.0,0.0,64,1
59138,0.010251998901367188,2,2,152,240,76.0,0.0,120.0,8.48528137423857,0.00013780593872070312,0.0,390.16781395348835,0.0,0.0,1.0,0.0,64,1
