sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
65429,0.011073112487792969,1,1,79,119,79.0,0.0,119.0,0.0,0.0,0.0,180.61769012143657,0.0,0.0,1.0,0.0,64,1
56873,0.002429962158203125,1,1,79,119,79.0,0.0,119.0,0.0,0.0,0.0,823.0580847723705,0.0,0.0,1.0,0.0,64,1
54083,0.010166168212890625,1,1,79,131,79.0,0.0,131.0,0.0,0.0,0.0,196.73095684803002,0.0,0.0,1.0,0.0,64,1
54180,0.011092185974121094,1,1,79,131,79.0,0.0,131.0,0.0,0.0,0.0,180.30711030865788,0.0,0.0,1.0,0.0,64,1
0,305.79956698417664,14,0,2903,0,207.35714285714283,80.82231902604164,0.0,0.0,23.52304361416743,47.40078247278594,0.04578162140015201,3.889052268583013,2.0150786288657585,0.0,0.0,64,1
0,257.73572397232056,17,0,3166,0,186.23529411764704,70.6094269660262,0.0,0.0,16.108482748270035,40.59155086700489,0.06595903640360584,3.71990506906855,2.519886664767618,0.0,0.0,64,1
49266,0.003289937973022461,1,1,89,105,89.0,0.0,105.0,0.0,0.0,0.0,607.914196680919,0.0,0.0,1.0,0.0,64,1
54462,0.002053976058959961,1,1,89,105,89.0,0.0,105.0,0.0,0.0,0.0,973.7211839814278,0.0,0.0,1.0,0.0,64,1
54124,0.01073002815246582,1,1,89,117,89.0,0.0,117.0,0.0,0.0,0.0,186.39280079991113,0.0,0.0,1.0,0.0,64,1
57950,0.010391950607299805,1,1,89,117,89.0,0.0,117.0,0.0,0.0,0.0,192.4566499185537,0.0,0.0,1.0,0.0,64,1
57362,0.009518146514892578,1,1,76,121,76.0,0.0,121.0,0.0,0.0,0.0,210.1249436400982,0.0,0.0,1.0,0.0,64,1
60680,0.008437871932983398,1,1,76,121,76.0,0.0,121.0,0.0,0.0,0.0,237.02658868073803,0.0,0.0,1.0,0.0,64,1
51964,0.010185003280639648,1,1,76,133,76.0,0.0,133.0,0.0,0.0,0.0,196.36714342564198,0.0,0.0,1.0,0.0,64,1
59195,0.011593103408813477,1,1,76,133,76.0,0.0,133.0,0.0,0.0,0.0,172.51635989717224,0.0,0.0,1.0,0.0,64,1
52926,0.01471090316772461,1,1,92,332,92.0,0.0,332.0,0.0,0.0,0.0,135.95358335224142,0.0,0.0,1.0,0.0,64,1
55407,0.00927114486694336,1,1,92,284,92.0,0.0,284.0,0.0,0.0,0.0,215.7230880008229,0.0,0.0,1.0,0.0,64,1
61319,0.010189056396484375,1,1,92,204,92.0,0.0,204.0,0.0,0.0,0.0,196.28903032572072,0.0,0.0,1.0,0.0,64,1
49520,0.009766817092895508,1,1,92,204,92.0,0.0,204.0,0.0,0.0,0.0,204.77500305138534,0.0,0.0,1.0,0.0,64,1
