sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
38616,0.0018608570098876953,1,1,94,254,94.0,0.0,254.0,0.0,0.0,0.0,1074.7736066623959,0.0,0.0,1.0,0.0,64,1
45176,0.002185821533203125,1,1,125,209,125.0,0.0,209.0,0.0,0.0,0.0,914.9877835951135,0.0,0.0,0.0,0.0,64,1
37551,0.0009551048278808594,1,1,94,202,94.0,0.0,202.0,0.0,0.0,0.0,2000.0,0.0,0.0,1.0,0.0,64,1
59168,0.003261089324951172,1,1,94,254,94.0,0.0,254.0,0.0,0.0,0.0,613.2920017546425,0.0,0.0,1.0,0.0,64,1
35768,0.0025229454040527344,1,1,125,209,125.0,0.0,209.0,0.0,0.0,0.0,792.7242487242487,0.0,0.0,0.0,0.0,64,1
52090,0.002157926559448242,1,1,94,202,94.0,0.0,202.0,0.0,0.0,0.0,926.8156004861341,0.0,0.0,1.0,0.0,64,1
59815,0.0015969276428222656,1,1,79,147,79.0,0.0,147.0,0.0,0.0,0.0,1252.4048969841745,0.0,0.0,1.0,0.0,64,1
53694,0.001692056655883789,1,1,79,95,79.0,0.0,95.0,0.0,0.0,0.0,1181.9935183880514,0.0,0.0,1.0,1.0,64,1
47081,0.0021600723266601562,1,1,94,254,94.0,0.0,254.0,0.0,0.0,0.0,925.8949227373068,0.0,0.0,1.0,0.0,64,1
38752,0.003381013870239258,1,1,125,209,125.0,0.0,209.0,0.0,0.0,0.0,591.5385374797264,0.0,0.0,0.0,0.0,64,1
57313,0.0018019676208496094,1,1,94,202,94.0,0.0,202.0,0.0,0.0,0.0,1109.8978565758136,0.0,0.0,1.0,0.0,64,1
55616,0.0015180110931396484,1,1,94,254,94.0,0.0,254.0,0.0,0.0,0.0,1317.513428616303,0.0,0.0,1.0,0.0,64,1
34855,0.0031490325927734375,1,1,125,209,125.0,0.0,209.0,0.0,0.0,0.0,635.1156874621441,0.0,0.0,0.0,0.0,64,1
50685,0.0021440982818603516,1,1,94,202,94.0,0.0,202.0,0.0,0.0,0.0,932.7930612698766,0.0,0.0,1.0,0.0,64,1
