sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
56342,0.982943058013916,2,2,196,196,98.0,0.0,98.0,0.0,0.980889081954956,0.0,4.0694117196190325,0.0,0.0,1.0,1.0,64,1
60807,0.0031728744506835938,1,1,87,140,87.0,0.0,140.0,0.0,0.0,0.0,630.3432521791403,0.0,0.0,1.0,0.0,64,1
52865,0.0019469261169433594,1,1,78,266,78.0,0.0,266.0,0.0,0.0,0.0,1027.2603477834925,0.0,0.0,1.0,0.0,64,1
56125,0.0013649463653564453,1,1,73,130,73.0,0.0,130.0,0.0,0.0,0.0,1465.25903930131,0.0,0.0,1.0,0.0,64,1
56184,0.00138092041015625,1,1,74,151,74.0,0.0,151.0,0.0,0.0,0.0,1448.3093922651933,0.0,0.0,1.0,0.0,64,1
59809,0.9921839237213135,2,2,146,446,73.0,0.0,223.0,0.0,0.9907968044281006,0.0,4.031510594323565,0.0,0.0,1.0,0.0,64,1
52099,0.0013489723205566406,1,1,74,157,74.0,0.0,157.0,0.0,0.0,0.0,1482.6101095793567,0.0,0.0,1.0,0.0,64,1
54938,0.0015308856964111328,1,1,74,119,74.0,0.0,119.0,0.0,0.0,0.0,1306.4332658464414,0.0,0.0,1.0,0.0,64,1
65156,0.0016260147094726562,1,1,80,267,80.0,0.0,267.0,0.0,0.0,0.0,1230.0011730205279,0.0,0.0,1.0,0.0,64,1
63615,0.0016241073608398438,1,1,80,221,80.0,0.0,221.0,0.0,0.0,0.0,1231.4456840869054,0.0,0.0,1.0,0.0,64,1
57868,0.0009548664093017578,1,1,72,249,72.0,0.0,249.0,0.0,0.0,0.0,2000.0,0.0,0.0,1.0,0.0,64,1
62503,0.002115011215209961,1,1,72,204,72.0,0.0,204.0,0.0,0.0,0.0,945.6214631946793,0.0,0.0,1.0,0.0,64,1
50391,0.002775907516479492,1,1,79,186,79.0,0.0,186.0,0.0,0.0,0.0,720.4850983423516,0.0,0.0,1.0,0.0,64,1
63336,1.0106542110443115,2,2,158,406,79.0,0.0,203.0,0.0,1.0082380771636963,0.0,3.957832418139128,0.0,0.0,1.0,0.0,64,1
60499,0.0014178752899169922,1,1,82,223,82.0,0.0,223.0,0.0,0.0,0.0,1410.5612914074322,0.0,0.0,1.0,0.0,64,1
49546,0.005403041839599609,1,1,82,195,82.0,0.0,195.0,0.0,0.0,0.0,370.1618568528815,0.0,0.0,1.0,0.0,64,1
64398,0.014827966690063477,1,1,78,261,78.0,0.0,261.0,0.0,0.0,0.0,134.880259836316,0.0,0.0,1.0,0.0,64,1
54961,0.014870882034301758,1,1,78,233,78.0,0.0,233.0,0.0,0.0,0.0,134.4910137399195,0.0,0.0,1.0,0.0,64,1
50667,0.001338958740234375,1,1,74,236,74.0,0.0,236.0,0.0,0.0,0.0,1493.6980056980058,0.0,0.0,1.0,0.0,64,1
53668,0.0015399456024169922,1,1,74,214,74.0,0.0,214.0,0.0,0.0,0.0,1298.7471744852144,0.0,0.0,1.0,0.0,64,1
52706,0.0015850067138671875,1,1,70,102,70.0,0.0,102.0,0.0,0.0,0.0,1261.8243080625753,0.0,0.0,1.0,0.0,64,1
59897,0.002064943313598633,1,1,70,146,70.0,0.0,146.0,0.0,0.0,0.0,968.5495901166147,0.0,0.0,1.0,0.0,64,1
52883,0.001953125,1,1,78,266,78.0,0.0,266.0,0.0,0.0,0.0,1024.0,0.0,0.0,1.0,0.0,64,1
52938,0.0019919872283935547,1,1,86,150,86.0,0.0,150.0,0.0,0.0,0.0,1004.0225014961101,0.0,0.0,1.0,0.0,64,1
65068,0.001538991928100586,1,1,92,149,92.0,0.0,149.0,0.0,0.0,0.0,1299.551975213013,0.0,0.0,1.0,0.0,64,1
50806,0.0019860267639160156,1,1,78,138,78.0,0.0,138.0,0.0,0.0,0.0,1007.0357743097239,0.0,0.0,1.0,0.0,64,1
53097,0.001628875732421875,1,1,85,150,85.0,0.0,150.0,0.0,0.0,0.0,1227.84074941452,0.0,0.0,1.0,0.0,64,1
52250,0.0023529529571533203,1,1,90,156,90.0,0.0,156.0,0.0,0.0,0.0,849.9957442496707,0.0,0.0,1.0,0.0,64,1
63679,0.0013880729675292969,1,1,80,143,80.0,0.0,143.0,0.0,0.0,0.0,1440.8464445207833,0.0,0.0,1.0,0.0,64,1
63798,0.0013859272003173828,1,1,78,138,78.0,0.0,138.0,0.0,0.0,0.0,1443.0772406674694,0.0,0.0,1.0,0.0,64,1
52859,0.0013689994812011719,1,1,79,142,79.0,0.0,142.0,0.0,0.0,0.0,1460.9209334726577,0.0,0.0,1.0,0.0,64,1
55786,0.0027458667755126953,1,1,73,130,73.0,0.0,130.0,0.0,0.0,0.0,728.3674568029869,0.0,0.0,1.0,0.0,64,1
59632,0.002696990966796875,1,1,78,132,78.0,0.0,132.0,0.0,0.0,0.0,741.5671852899576,0.0,0.0,1.0,0.0,64,1
57931,0.0014259815216064453,1,1,65,140,65.0,0.0,140.0,0.0,0.0,0.0,1402.5427186089282,0.0,0.0,1.0,0.0,64,1
52269,0.0009548664093017578,1,1,98,98,98.0,0.0,98.0,0.0,0.0,0.0,2000.0,0.0,0.0,1.0,1.0,64,1
