sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
45029,0.0026090145111083984,1,1,91,249,91.0,0.0,249.0,0.0,0.0,0.0,766.5729690212921,0.0,0.0,1.0,0.0,64,1
53681,0.028746843338012695,1,1,91,178,91.0,0.0,178.0,0.0,0.0,0.0,69.57285627793951,0.0,0.0,1.0,0.0,64,1
44234,0.0416109561920166,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,48.06426439159108,0.0,0.0,1.0,0.0,64,1
46380,0.0020182132720947266,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,990.9755463673952,0.0,0.0,0.0,0.0,64,1
54710,0.003326892852783203,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,601.1615307438727,0.0,0.0,0.0,0.0,64,1
47590,0.003270864486694336,1,1,86,244,86.0,0.0,244.0,0.0,0.0,0.0,611.4591442524966,0.0,0.0,1.0,0.0,64,1
52313,0.004936933517456055,1,1,88,246,88.0,0.0,246.0,0.0,0.0,0.0,405.10976964311584,0.0,0.0,1.0,0.0,64,1
60786,0.0023810863494873047,1,1,86,173,86.0,0.0,173.0,0.0,0.0,0.0,839.9527385601282,0.0,0.0,1.0,0.0,64,1
57924,0.004873037338256836,1,1,88,175,88.0,0.0,175.0,0.0,0.0,0.0,410.42164489456434,0.0,0.0,1.0,0.0,64,1
56750,0.0067632198333740234,1,1,91,249,91.0,0.0,249.0,0.0,0.0,0.0,295.7171361088589,0.0,0.0,1.0,0.0,64,1
49183,0.003371000289916992,1,1,91,178,91.0,0.0,178.0,0.0,0.0,0.0,593.2957069099654,0.0,0.0,1.0,0.0,64,1
59910,0.0023288726806640625,1,1,90,248,90.0,0.0,248.0,0.0,0.0,0.0,858.7846027846028,0.0,0.0,1.0,0.0,64,1
57910,0.012106895446777344,1,1,90,177,90.0,0.0,177.0,0.0,0.0,0.0,165.19511618747538,0.0,0.0,1.0,0.0,64,1
57550,0.002103090286254883,1,1,85,243,85.0,0.0,243.0,0.0,0.0,0.0,950.9815213694593,0.0,0.0,1.0,0.0,64,1
48528,0.009470939636230469,1,1,85,172,85.0,0.0,172.0,0.0,0.0,0.0,211.1722887926694,0.0,0.0,1.0,0.0,64,1
49659,0.0027489662170410156,1,1,86,173,86.0,0.0,173.0,0.0,0.0,0.0,727.5462272333044,0.0,0.0,1.0,0.0,64,1
58729,0.0031909942626953125,1,1,86,244,86.0,0.0,244.0,0.0,0.0,0.0,626.7638971906754,0.0,0.0,1.0,0.0,64,1
48911,0.002814054489135742,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,710.7182919596713,0.0,0.0,0.0,0.0,64,1
43754,0.002468109130859375,1,1,86,244,86.0,0.0,244.0,0.0,0.0,0.0,810.3369397217929,0.0,0.0,1.0,0.0,64,1
58881,0.0025038719177246094,1,1,86,173,86.0,0.0,173.0,0.0,0.0,0.0,798.762902304323,0.0,0.0,1.0,0.0,64,1
54693,0.0036458969116210938,1,1,87,217,87.0,0.0,217.0,0.0,0.0,0.0,548.5618624117185,0.0,0.0,1.0,0.0,64,1
47671,0.0023839473724365234,1,1,87,229,87.0,0.0,229.0,0.0,0.0,0.0,838.944694469447,0.0,0.0,1.0,0.0,64,1
54567,0.008115053176879883,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,246.45556306372478,0.0,0.0,1.0,0.0,64,1
54535,0.001968860626220703,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,1015.8159360620004,0.0,0.0,1.0,0.0,64,1
52216,0.007519960403442383,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,265.95884721473635,0.0,0.0,1.0,0.0,64,1
43264,0.007328033447265625,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,272.92451847995835,0.0,0.0,1.0,0.0,64,1
45974,0.007713794708251953,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,259.2757618841565,0.0,0.0,1.0,0.0,64,1
58740,0.006358146667480469,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,314.55707214639267,0.0,0.0,1.0,0.0,64,1
47607,0.001519918441772461,1,1,87,229,87.0,0.0,229.0,0.0,0.0,0.0,1315.8600784313726,0.0,0.0,1.0,0.0,64,1
44177,0.001093149185180664,1,1,87,217,87.0,0.0,217.0,0.0,0.0,0.0,1829.5764449291166,0.0,0.0,1.0,0.0,64,1
46200,0.0024220943450927734,2,2,150,320,75.0,0.0,160.0,18.384776310850235,7.605552673339844e-05,0.0,1651.463333005217,0.0,0.0,1.0,0.0,64,1
