sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
42438,0.011814117431640625,1,1,74,90,74.0,0.0,90.0,0.0,0.0,0.0,169.28898934452695,0.0,0.0,1.0,1.0,64,0
56057,0.004899024963378906,1,1,75,276,75.0,0.0,276.0,0.0,0.0,0.0,408.24450068133154,0.0,0.0,1.0,0.0,64,0
59164,0.008280038833618164,1,1,75,276,75.0,0.0,276.0,0.0,0.0,0.0,241.5447608626796,0.0,0.0,1.0,0.0,64,0
34205,0.001628875732421875,1,1,76,108,76.0,0.0,108.0,0.0,0.0,0.0,1227.84074941452,0.0,0.0,1.0,0.0,64,0
55023,0.005897998809814453,1,1,88,213,88.0,0.0,213.0,0.0,0.0,0.0,339.0980677500202,0.0,0.0,1.0,0.0,64,0
54031,0.004809141159057617,1,1,95,208,95.0,0.0,208.0,0.0,0.0,0.0,415.87467155817757,0.0,0.0,1.0,0.0,64,0
52736,0.0033299922943115234,1,1,75,276,75.0,0.0,276.0,0.0,0.0,0.0,600.6019904059569,0.0,0.0,1.0,0.0,64,0
46356,0.0014219284057617188,1,1,76,115,76.0,0.0,115.0,0.0,0.0,0.0,1406.540576794098,0.0,0.0,1.0,0.0,64,0
49284,0.004630088806152344,1,1,75,276,75.0,0.0,276.0,0.0,0.0,0.0,431.95715756951597,0.0,0.0,1.0,0.0,64,0
52229,0.009499073028564453,1,1,88,213,88.0,0.0,213.0,0.0,0.0,0.0,210.54686009738467,0.0,0.0,1.0,0.0,64,0
59319,0.0017380714416503906,1,1,75,276,75.0,0.0,276.0,0.0,0.0,0.0,1150.7006858710563,0.0,0.0,1.0,0.0,64,0
52846,0.007915973663330078,1,1,95,208,95.0,0.0,208.0,0.0,0.0,0.0,252.6536955605084,0.0,0.0,1.0,0.0,64,0
44316,0.0065310001373291016,1,1,75,276,75.0,0.0,276.0,0.0,0.0,0.0,306.23181104661774,0.0,0.0,1.0,0.0,64,0
47412,0.013727903366088867,1,1,109,221,109.0,0.0,221.0,0.0,0.0,0.0,145.68867121693674,0.0,0.0,0.0,0.0,64,0
50124,0.0028350353240966797,1,1,93,174,93.0,0.0,174.0,0.0,0.0,0.0,705.4585821209319,0.0,0.0,1.0,0.0,64,0
45978,0.006649017333984375,1,1,109,172,109.0,0.0,172.0,0.0,0.0,0.0,300.7963281698221,0.0,0.0,0.0,0.0,64,0
52207,0.005410909652709961,1,1,75,276,75.0,0.0,276.0,0.0,0.0,0.0,369.62361753690243,0.0,0.0,1.0,0.0,64,0
36699,0.008780956268310547,1,1,95,208,95.0,0.0,208.0,0.0,0.0,0.0,227.76562584849307,0.0,0.0,1.0,0.0,64,0
50501,0.0024750232696533203,1,1,75,276,75.0,0.0,276.0,0.0,0.0,0.0,808.0732106733456,0.0,0.0,1.0,0.0,64,0
37628,0.0029249191284179688,1,1,75,276,75.0,0.0,276.0,0.0,0.0,0.0,683.7795891750897,0.0,0.0,1.0,0.0,64,0
56330,0.005190134048461914,1,1,95,254,95.0,0.0,254.0,0.0,0.0,0.0,385.34650190638064,0.0,0.0,1.0,0.0,64,0
33196,0.0024750232696533203,1,1,97,246,97.0,0.0,246.0,0.0,0.0,0.0,808.0732106733456,0.0,0.0,1.0,0.0,64,0
37125,0.0050160884857177734,1,1,82,215,82.0,0.0,215.0,0.0,0.0,0.0,398.7170492894149,0.0,0.0,1.0,0.0,64,0
46261,0.0074160099029541016,1,1,95,254,95.0,0.0,254.0,0.0,0.0,0.0,269.6868027648288,0.0,0.0,1.0,0.0,64,0
40325,0.002422809600830078,1,1,75,276,75.0,0.0,276.0,0.0,0.0,0.0,825.4878960834482,0.0,0.0,1.0,0.0,64,0
45853,0.006536006927490234,1,1,95,254,95.0,0.0,254.0,0.0,0.0,0.0,305.99722769387904,0.0,0.0,1.0,0.0,64,0
42686,0.0052220821380615234,1,1,97,246,97.0,0.0,246.0,0.0,0.0,0.0,382.9889969410583,0.0,0.0,1.0,0.0,64,0
38060,0.002516031265258789,1,1,75,276,75.0,0.0,276.0,0.0,0.0,0.0,794.9026817018857,0.0,0.0,1.0,0.0,64,0
47922,0.005406856536865234,1,1,97,246,97.0,0.0,246.0,0.0,0.0,0.0,369.9006967104683,0.0,0.0,1.0,0.0,64,0
