sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
20216,0.001132965087890625,2,2,142,528,71.0,0.0,264.0,0.0,0.00015687942504882812,0.0,3530.5589225589224,0.0,0.0,1.0,0.0,64,1
20216,0.0024318695068359375,2,2,142,528,71.0,0.0,264.0,0.0,8.797645568847656e-05,0.0,1644.8250980392156,0.0,0.0,1.0,0.0,64,1
1226,0.004436969757080078,1,1,78,94,78.0,0.0,94.0,0.0,0.0,0.0,450.75808704997314,0.0,0.0,1.0,1.0,64,1
44094,0.004495143890380859,1,1,79,270,79.0,0.0,270.0,0.0,0.0,0.0,444.92457833881406,0.0,0.0,1.0,0.0,64,1
27597,0.004450082778930664,1,1,79,224,79.0,0.0,224.0,0.0,0.0,0.0,449.42984195017414,0.0,0.0,1.0,0.0,64,1
31076,0.002404928207397461,2,2,142,528,71.0,0.0,264.0,0.0,0.0001609325408935547,0.0,1663.2513135719244,0.0,0.0,1.0,0.0,64,1
31076,0.0022029876708984375,2,2,142,528,71.0,0.0,264.0,0.0,8.58306884765625e-05,0.0,1815.7160173160173,0.0,0.0,1.0,0.0,64,1
0,34.407756090164185,4,0,920,0,230.0,71.59143337951359,0.0,0.0,11.46925203005473,19.863613300249117,0.11625285849847795,3.5602297547408766,1.731901369696759,0.0,0.0,64,1
26106,0.011626958847045898,1,1,82,146,82.0,0.0,146.0,0.0,0.0,0.0,172.0140258781553,0.0,0.0,1.0,0.0,64,1
60697,0.01066899299621582,1,1,82,137,82.0,0.0,137.0,0.0,0.0,0.0,187.45911640483587,0.0,0.0,1.0,0.0,64,1
51137,0.012952089309692383,1,1,82,146,82.0,0.0,146.0,0.0,0.0,0.0,154.41524160147262,0.0,0.0,1.0,0.0,64,1
44892,0.015257120132446289,1,1,82,137,82.0,0.0,137.0,0.0,0.0,0.0,131.08633756817153,0.0,0.0,1.0,0.0,64,1
57033,0.010998010635375977,1,1,82,146,82.0,0.0,146.0,0.0,0.0,0.0,181.85106982592296,0.0,0.0,1.0,0.0,64,1
13536,0.04268503189086914,1,1,82,194,82.0,0.0,194.0,0.0,0.0,0.0,46.85483204307562,0.0,0.0,1.0,0.0,64,1
58392,0.009676933288574219,1,1,82,146,82.0,0.0,146.0,0.0,0.0,0.0,206.67704740317336,0.0,0.0,1.0,0.0,64,1
61533,0.01450204849243164,1,1,82,137,82.0,0.0,137.0,0.0,0.0,0.0,137.91155098148818,0.0,0.0,1.0,0.0,64,1
58240,0.014738082885742188,1,1,73,213,73.0,0.0,213.0,0.0,0.0,0.0,135.70286010094475,0.0,0.0,1.0,0.0,64,1
40719,0.004513978958129883,1,1,71,374,71.0,0.0,374.0,0.0,0.0,0.0,443.0680821845455,0.0,0.0,1.0,0.0,64,1
3849,0.006106853485107422,1,1,71,374,71.0,0.0,374.0,0.0,0.0,0.0,327.50089794643554,0.0,0.0,1.0,0.0,64,1
39162,0.0028228759765625,2,2,184,280,92.0,0.0,140.0,0.0,0.0014328956604003906,0.0,1416.9945945945947,0.0,0.0,1.0,0.0,64,1
39162,0.002593994140625,2,2,184,280,92.0,0.0,140.0,0.0,0.00013399124145507812,0.0,1542.0235294117647,0.0,0.0,1.0,0.0,64,1
1968,0.0015571117401123047,1,1,83,211,83.0,0.0,211.0,0.0,0.0,0.0,1284.4293370081152,0.0,0.0,1.0,0.0,64,1
46500,0.0023560523986816406,1,1,83,161,83.0,0.0,161.0,0.0,0.0,0.0,848.8775551507792,0.0,0.0,1.0,0.0,64,1
16763,0.0010797977447509766,1,1,71,264,71.0,0.0,264.0,0.0,0.0,0.0,1852.198719364098,0.0,0.0,1.0,0.0,64,1
56841,0.00562286376953125,1,1,73,213,73.0,0.0,213.0,0.0,0.0,0.0,355.69063772048844,0.0,0.0,1.0,0.0,64,1
15963,0.002237081527709961,2,2,166,684,83.0,0.0,342.0,0.0,0.00017309188842773438,0.0,1788.0439091974847,0.0,0.0,1.0,0.0,64,1
15963,0.0017120838165283203,2,2,166,684,83.0,0.0,342.0,0.0,9.417533874511719e-05,0.0,2336.3342152903497,0.0,0.0,1.0,0.0,64,1
2892,0.0016460418701171875,1,1,83,342,83.0,0.0,342.0,0.0,0.0,0.0,1215.0359212050985,0.0,0.0,1.0,0.0,64,1
