sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
40900,0.0035741329193115234,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,559.5762791007938,0.0,0.0,1.0,0.0,64,1
59750,0.006031036376953125,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,331.617963314358,0.0,0.0,1.0,0.0,64,1
37037,0.021927833557128906,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,91.20828078110729,0.0,0.0,1.0,0.0,64,1
57194,0.04297590255737305,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,46.53770790107293,0.0,0.0,1.0,0.0,64,1
39897,0.012523174285888672,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,159.70391805962763,0.0,0.0,1.0,0.0,64,1
40949,0.002601146697998047,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,768.8916590284143,0.0,0.0,1.0,0.0,64,1
59019,0.019588947296142578,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,102.09839098366642,0.0,0.0,1.0,0.0,64,1
45136,0.03887009620666504,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,51.45343580747456,0.0,0.0,1.0,0.0,64,1
53904,0.0040340423583984375,1,1,77,125,77.0,0.0,125.0,0.0,0.0,0.0,495.7806146572104,0.0,0.0,1.0,0.0,64,1
41107,0.007122993469238281,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,280.78082742000265,0.0,0.0,1.0,0.0,64,1
59701,0.0025420188903808594,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,786.7762145938848,0.0,0.0,1.0,0.0,64,1
35998,0.002655029296875,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,753.2873563218391,0.0,0.0,1.0,0.0,64,1
43406,0.002065896987915039,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,968.1024812463935,0.0,0.0,1.0,0.0,64,1
52395,0.003325939178466797,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,601.3339068100358,0.0,0.0,1.0,0.0,64,1
54891,0.002259969711303711,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,884.9676126173647,0.0,0.0,1.0,0.0,64,1
43707,0.005998849868774414,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,333.397241763046,0.0,0.0,1.0,0.0,64,1
51722,0.05095386505126953,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,39.251193172247284,0.0,0.0,1.0,0.0,64,1
33666,0.0026319026947021484,1,1,77,125,77.0,0.0,125.0,0.0,0.0,0.0,759.9065132711296,0.0,0.0,1.0,0.0,64,1
