sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
52303,0.0050201416015625,1,1,88,189,88.0,0.0,189.0,0.0,0.0,0.0,398.3951367781155,0.0,0.0,1.0,0.0,64,1
50825,0.0055789947509765625,1,1,92,201,92.0,0.0,201.0,0.0,0.0,0.0,358.48752136752137,0.0,0.0,1.0,0.0,64,1
34190,0.022245168685913086,2,2,168,287,84.0,0.0,143.5,6.363961030678928,0.00011610984802246094,0.0,179.81432537003099,0.0,0.0,1.0,0.0,64,1
43939,0.004992008209228516,1,1,82,130,82.0,0.0,130.0,0.0,0.0,0.0,400.6403667972108,0.0,0.0,1.0,0.0,64,1
50503,0.13959598541259766,2,2,168,287,84.0,0.0,143.5,6.363961030678928,0.00011610984802246094,0.0,28.65411915806445,0.0,0.0,1.0,0.0,64,1
41445,0.012526988983154297,2,2,168,344,84.0,0.0,172.0,33.94112549695428,7.700920104980469e-05,0.0,319.31057059114613,0.0,0.0,1.0,0.0,64,1
40850,0.052062034606933594,2,2,168,287,84.0,0.0,143.5,6.363961030678928,0.0001270771026611328,0.0,76.83141909838618,0.0,0.0,1.0,0.0,64,1
51480,0.0059778690338134766,1,1,89,195,89.0,0.0,195.0,0.0,0.0,0.0,334.56738324093646,0.0,0.0,1.0,0.0,64,1
56310,0.0020241737365722656,1,1,121,197,121.0,0.0,197.0,0.0,0.0,0.0,988.0574793875147,0.0,0.0,0.0,0.0,64,1
51727,0.006799936294555664,1,1,81,179,81.0,0.0,179.0,0.0,0.0,0.0,294.1204025104309,0.0,0.0,1.0,0.0,64,1
