sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
58392,0.0020749568939208984,1,1,91,249,91.0,0.0,249.0,0.0,0.0,0.0,963.8754452487648,0.0,0.0,1.0,0.0,64,0
42899,0.0024149417877197266,1,1,91,178,91.0,0.0,178.0,0.0,0.0,0.0,828.1773126666009,0.0,0.0,1.0,0.0,64,0
58745,0.0021500587463378906,2,2,150,320,75.0,0.0,160.0,18.384776310850235,6.914138793945312e-05,0.0,1860.414282546019,0.0,0.0,1.0,0.0,64,0
59093,0.011692047119140625,1,1,74,138,74.0,0.0,138.0,0.0,0.0,0.0,171.05644371941273,0.0,0.0,1.0,0.0,64,0
48808,0.0029342174530029297,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,681.6127407166653,0.0,0.0,0.0,0.0,64,0
53725,0.002724170684814453,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,734.1683878872747,0.0,0.0,0.0,0.0,64,0
47449,0.0025670528411865234,1,1,86,244,86.0,0.0,244.0,0.0,0.0,0.0,779.1035571654128,0.0,0.0,1.0,0.0,64,0
47384,0.002740144729614258,1,1,88,246,88.0,0.0,246.0,0.0,0.0,0.0,729.8884538414687,0.0,0.0,1.0,0.0,64,0
49360,0.0063169002532958984,1,1,85,243,85.0,0.0,243.0,0.0,0.0,0.0,316.61098320437816,0.0,0.0,1.0,0.0,64,0
58831,0.007170915603637695,1,1,90,248,90.0,0.0,248.0,0.0,0.0,0.0,278.90441200917644,0.0,0.0,1.0,0.0,64,0
46146,0.0063228607177734375,1,1,90,177,90.0,0.0,177.0,0.0,0.0,0.0,316.31251885369534,0.0,0.0,1.0,0.0,64,0
46947,0.0024759769439697266,1,1,91,249,91.0,0.0,249.0,0.0,0.0,0.0,807.7619643716899,0.0,0.0,1.0,0.0,64,0
47219,0.013715982437133789,1,1,86,173,86.0,0.0,173.0,0.0,0.0,0.0,145.815293156495,0.0,0.0,1.0,0.0,64,0
49375,0.004787921905517578,1,1,88,175,88.0,0.0,175.0,0.0,0.0,0.0,417.71775719549845,0.0,0.0,1.0,0.0,64,0
46216,0.0033330917358398438,1,1,85,172,85.0,0.0,172.0,0.0,0.0,0.0,600.0434907010015,0.0,0.0,1.0,0.0,64,0
46749,0.002056121826171875,1,1,91,178,91.0,0.0,178.0,0.0,0.0,0.0,972.7050092764379,0.0,0.0,1.0,0.0,64,0
50919,0.003170013427734375,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,630.9121540312876,0.0,0.0,0.0,0.0,64,0
58817,0.0024569034576416016,1,1,87,217,87.0,0.0,217.0,0.0,0.0,0.0,814.0327996118389,0.0,0.0,1.0,0.0,64,0
48986,0.002273082733154297,1,1,87,229,87.0,0.0,229.0,0.0,0.0,0.0,879.8623872456471,0.0,0.0,1.0,0.0,64,0
60113,0.007047891616821289,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,283.7728087683096,0.0,0.0,1.0,0.0,64,0
42445,0.01414799690246582,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,141.36276773225933,0.0,0.0,1.0,0.0,64,0
57903,0.005960226058959961,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,335.5577423096924,0.0,0.0,1.0,0.0,64,0
48874,0.015104055404663086,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,132.41476851194142,0.0,0.0,1.0,0.0,64,0
50939,0.008688926696777344,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,230.17802656129953,0.0,0.0,1.0,0.0,64,0
55446,0.0069730281829833984,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,286.8194344719117,0.0,0.0,1.0,0.0,64,0
44160,0.002657175064086914,1,1,86,244,86.0,0.0,244.0,0.0,0.0,0.0,752.6790489008524,0.0,0.0,1.0,0.0,64,0
48323,0.001990079879760742,1,1,86,173,86.0,0.0,173.0,0.0,0.0,0.0,1004.9847849526776,0.0,0.0,1.0,0.0,64,0
