sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
42450,0.09285402297973633,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00479888916015625,0.0,43.078370453296635,0.0,0.0,1.0,0.0,64,1
46814,0.08817195892333984,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.00010609626770019531,0.0,45.36589692282732,0.0,0.0,0.0,0.0,64,1
43208,0.08851504325866699,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.0001239776611328125,0.0,45.19005869217985,0.0,0.0,1.0,0.0,64,1
41513,0.08813095092773438,2,2,220,432,110.0,0.0,216.0,14.142135623730951,8.893013000488281e-05,0.0,45.38700601653465,0.0,0.0,0.0,0.0,64,1
57694,0.08852410316467285,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00015807151794433594,0.0,45.18543376326768,0.0,0.0,1.0,0.0,64,1
34698,0.08841609954833984,2,2,220,432,110.0,0.0,216.0,14.142135623730951,6.914138793945312e-05,0.0,45.240629483017116,0.0,0.0,0.0,0.0,64,1
50244,0.0881190299987793,2,2,144,266,72.0,0.0,133.0,4.242640687119285,9.608268737792969e-05,0.0,45.393146066807724,0.0,0.0,1.0,0.0,64,1
39882,0.08813285827636719,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.000102996826171875,0.0,45.386023762633364,0.0,0.0,0.0,0.0,64,1
51266,0.08809399604797363,2,2,144,266,72.0,0.0,133.0,4.242640687119285,9.417533874511719e-05,0.0,45.406045581377725,0.0,0.0,1.0,0.0,64,1
34781,0.08672404289245605,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0007131099700927734,0.0,46.123310982633534,0.0,0.0,0.0,0.0,64,1
55567,0.0955660343170166,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.009573936462402344,0.0,41.855875140020906,0.0,0.0,1.0,0.0,64,1
36869,0.08851814270019531,2,2,220,432,110.0,0.0,216.0,14.142135623730951,9.012222290039062e-05,0.0,45.18847637311728,0.0,0.0,0.0,0.0,64,1
47289,0.08680486679077148,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0008819103240966797,0.0,46.0803656279011,0.0,0.0,0.0,0.0,64,1
35131,0.08597207069396973,2,2,144,266,72.0,0.0,133.0,4.242640687119285,6.29425048828125e-05,0.0,46.526737901179445,0.0,0.0,1.0,0.0,64,1
40080,0.08603215217590332,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.0001010894775390625,0.0,46.49424545164821,0.0,0.0,1.0,0.0,64,1
39542,0.09034514427185059,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0023610591888427734,0.0,44.27465396440023,0.0,0.0,0.0,0.0,64,1
38427,0.0860280990600586,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.00011014938354492188,0.0,46.4964359750352,0.0,0.0,0.0,0.0,64,1
58780,0.08816790580749512,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00010895729064941406,0.0,45.367982412257334,0.0,0.0,1.0,0.0,64,1
33915,0.08810615539550781,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00010418891906738281,0.0,45.39977918732276,0.0,0.0,1.0,0.0,64,1
42375,0.0866398811340332,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0006339550018310547,0.0,46.168115048679944,0.0,0.0,0.0,0.0,64,1
46837,0.08850598335266113,2,2,220,432,110.0,0.0,216.0,14.142135623730951,0.0001277923583984375,0.0,45.194684567952784,0.0,0.0,0.0,0.0,64,1
48191,0.08601903915405273,2,2,144,266,72.0,0.0,133.0,4.242640687119285,9.512901306152344e-05,0.0,46.50133318550957,0.0,0.0,1.0,0.0,64,1
40708,0.08617305755615234,2,2,144,266,72.0,0.0,133.0,4.242640687119285,0.00010204315185546875,0.0,46.41822065317235,0.0,0.0,1.0,0.0,64,1
52440,0.08600306510925293,2,2,220,432,110.0,0.0,216.0,14.142135623730951,9.489059448242188e-05,0.0,46.509970254183955,0.0,0.0,0.0,0.0,64,1
