sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
42825,0.0026061534881591797,1,1,91,249,91.0,0.0,249.0,0.0,0.0,0.0,767.4145091940353,0.0,0.0,1.0,0.0,64,1
46124,0.005924224853515625,1,1,91,178,91.0,0.0,178.0,0.0,0.0,0.0,337.59690920798454,0.0,0.0,1.0,0.0,64,1
41806,0.01606297492980957,1,1,79,143,79.0,0.0,143.0,0.0,0.0,0.0,124.5099372152049,0.0,0.0,1.0,0.0,64,1
44956,0.003098011016845703,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,645.575496382946,0.0,0.0,0.0,0.0,64,1
42559,0.0026030540466308594,1,1,88,246,88.0,0.0,246.0,0.0,0.0,0.0,768.3282652500458,0.0,0.0,1.0,0.0,64,1
44960,0.005920886993408203,1,1,85,243,85.0,0.0,243.0,0.0,0.0,0.0,337.78722718853186,0.0,0.0,1.0,0.0,64,1
53827,0.0034220218658447266,1,1,85,172,85.0,0.0,172.0,0.0,0.0,0.0,584.44980143524,0.0,0.0,1.0,0.0,64,1
56862,0.002298116683959961,1,1,86,244,86.0,0.0,244.0,0.0,0.0,0.0,870.2778296503786,0.0,0.0,1.0,0.0,64,1
58562,0.0021779537200927734,1,1,90,248,90.0,0.0,248.0,0.0,0.0,0.0,918.2931581828134,0.0,0.0,1.0,0.0,64,1
47915,0.0025260448455810547,1,1,86,173,86.0,0.0,173.0,0.0,0.0,0.0,791.751580934403,0.0,0.0,1.0,0.0,64,1
56255,0.0032830238342285156,1,1,88,175,88.0,0.0,175.0,0.0,0.0,0.0,609.1944807552651,0.0,0.0,1.0,0.0,64,1
48107,0.0023789405822753906,1,1,90,177,90.0,0.0,177.0,0.0,0.0,0.0,840.710362798156,0.0,0.0,1.0,0.0,64,1
58495,0.0018031597137451172,1,1,91,178,91.0,0.0,178.0,0.0,0.0,0.0,1109.164088324739,0.0,0.0,1.0,0.0,64,1
53144,0.0019249916076660156,1,1,91,249,91.0,0.0,249.0,0.0,0.0,0.0,1038.965568491454,0.0,0.0,1.0,0.0,64,1
47657,0.003286123275756836,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,608.619894072408,0.0,0.0,0.0,0.0,64,1
53421,0.002418994903564453,1,1,101,229,101.0,0.0,229.0,0.0,0.0,0.0,826.7896708062291,0.0,0.0,0.0,0.0,64,1
42141,0.002529144287109375,1,1,87,217,87.0,0.0,217.0,0.0,0.0,0.0,790.7812971342383,0.0,0.0,1.0,0.0,64,1
54940,0.0024788379669189453,1,1,87,229,87.0,0.0,229.0,0.0,0.0,0.0,806.8296624026161,0.0,0.0,1.0,0.0,64,1
58196,0.002123117446899414,1,1,87,217,87.0,0.0,217.0,0.0,0.0,0.0,942.0110050533408,0.0,0.0,1.0,0.0,64,1
42158,0.002421140670776367,1,1,87,229,87.0,0.0,229.0,0.0,0.0,0.0,826.0569177744953,0.0,0.0,1.0,0.0,64,1
57137,0.009679079055786133,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,206.63122890854004,0.0,0.0,1.0,0.0,64,1
56998,0.007094860076904297,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,281.8942133207877,0.0,0.0,1.0,0.0,64,1
47412,0.008651971817016602,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,231.1611783184987,0.0,0.0,1.0,0.0,64,1
54245,0.0023589134216308594,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,847.847988680008,0.0,0.0,1.0,0.0,64,1
45794,0.003161907196044922,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,632.529633539436,0.0,0.0,1.0,0.0,64,1
46067,0.00681614875793457,1,1,73,137,73.0,0.0,137.0,0.0,0.0,0.0,293.420826191892,0.0,0.0,1.0,0.0,64,1
51774,0.00257110595703125,1,1,86,244,86.0,0.0,244.0,0.0,0.0,0.0,777.8753709198813,0.0,0.0,1.0,0.0,64,1
58953,0.0025758743286132812,1,1,86,173,86.0,0.0,173.0,0.0,0.0,0.0,776.435394298408,0.0,0.0,1.0,0.0,64,1
42229,0.0025148391723632812,2,2,150,320,75.0,0.0,160.0,18.384776310850235,0.00012087821960449219,0.0,1590.5589685248387,0.0,0.0,1.0,0.0,64,1
