sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
49326,0.0014798641204833984,2,2,142,528,71.0,0.0,264.0,0.0,0.00016999244689941406,0.0,2702.950861930079,0.0,0.0,1.0,0.0,64,1
49326,0.00177001953125,2,2,142,528,71.0,0.0,264.0,0.0,8.797645568847656e-05,0.0,2259.862068965517,0.0,0.0,1.0,0.0,64,1
0,60.16358208656311,7,0,1424,0,203.42857142857144,93.19309191647406,0.0,0.0,10.027263681093851,15.858564388871633,0.11634945522240396,4.537880556727597,1.5815445662182546,0.0,0.0,64,1
34515,0.0023047924041748047,1,1,78,94,78.0,0.0,94.0,0.0,0.0,0.0,867.7571118237303,0.0,0.0,1.0,1.0,64,1
1744,0.018231868743896484,1,1,82,146,82.0,0.0,146.0,0.0,0.0,0.0,109.69802536942592,0.0,0.0,1.0,0.0,64,1
14978,0.0024280548095703125,1,1,82,137,82.0,0.0,137.0,0.0,0.0,0.0,823.7046347211312,0.0,0.0,1.0,0.0,64,1
3897,0.018027067184448242,1,1,82,146,82.0,0.0,146.0,0.0,0.0,0.0,110.94428059409346,0.0,0.0,1.0,0.0,64,1
64110,0.01393890380859375,1,1,82,137,82.0,0.0,137.0,0.0,0.0,0.0,143.4833059660646,0.0,0.0,1.0,0.0,64,1
57523,0.014261960983276367,2,2,164,292,82.0,0.0,146.0,0.0,0.00015497207641601562,0.0,280.46634012604693,0.0,0.0,1.0,0.0,64,1
57523,0.01453709602355957,2,2,164,292,82.0,0.0,146.0,0.0,0.0009450912475585938,0.0,275.1581191675004,0.0,0.0,1.0,0.0,64,1
37544,0.005352973937988281,1,1,82,137,82.0,0.0,137.0,0.0,0.0,0.0,373.62408694102976,0.0,0.0,1.0,0.0,64,1
24105,0.013163089752197266,1,1,82,146,82.0,0.0,146.0,0.0,0.0,0.0,151.94001086759644,0.0,0.0,1.0,0.0,64,1
56286,0.021949052810668945,1,1,82,194,82.0,0.0,194.0,0.0,0.0,0.0,91.12010514767383,0.0,0.0,1.0,0.0,64,1
0,59.744226932525635,2,0,544,0,272.0,138.59292911256333,0.0,0.0,59.744226932525635,0.0,0.033476037814645664,4.447985580139731,0.0,0.0,0.0,64,1
61322,0.0056459903717041016,1,1,82,146,82.0,0.0,146.0,0.0,0.0,0.0,354.23368945568177,0.0,0.0,1.0,0.0,64,1
38519,0.001992940902709961,1,1,82,137,82.0,0.0,137.0,0.0,0.0,0.0,1003.5420504845077,0.0,0.0,1.0,0.0,64,1
46648,0.0010020732879638672,1,1,71,264,71.0,0.0,264.0,0.0,0.0,0.0,1995.8620033309542,0.0,0.0,1.0,0.0,64,1
1831,0.009809017181396484,1,1,73,213,73.0,0.0,213.0,0.0,0.0,0.0,203.89402556997715,0.0,0.0,1.0,0.0,64,1
32590,0.0024619102478027344,1,1,79,270,79.0,0.0,270.0,0.0,0.0,0.0,812.3773000193686,0.0,0.0,1.0,0.0,64,1
23880,0.00144195556640625,1,1,79,224,79.0,0.0,224.0,0.0,0.0,0.0,1387.005291005291,0.0,0.0,1.0,0.0,64,1
49427,0.0019888877868652344,1,1,71,264,71.0,0.0,264.0,0.0,0.0,0.0,1005.5871493646607,0.0,0.0,1.0,0.0,64,1
38132,0.0021958351135253906,1,1,71,264,71.0,0.0,264.0,0.0,0.0,0.0,910.8152008686211,0.0,0.0,1.0,0.0,64,1
26542,0.0050389766693115234,1,1,71,374,71.0,0.0,374.0,0.0,0.0,0.0,396.90598533238705,0.0,0.0,1.0,0.0,64,1
3711,0.0068569183349609375,1,1,71,374,71.0,0.0,374.0,0.0,0.0,0.0,291.67621696801115,0.0,0.0,1.0,0.0,64,1
17321,0.012810945510864258,2,2,152,184,76.0,0.0,92.0,0.0,0.00021004676818847656,0.0,312.23300392682336,0.0,0.0,1.0,1.0,64,1
17321,0.002997159957885742,2,2,152,184,76.0,0.0,92.0,0.0,0.0001220703125,0.0,1334.5967703444435,0.0,0.0,1.0,1.0,64,1
52030,0.002435922622680664,1,1,83,211,83.0,0.0,211.0,0.0,0.0,0.0,821.044142116081,0.0,0.0,1.0,0.0,64,1
20766,0.0020918846130371094,1,1,83,161,83.0,0.0,161.0,0.0,0.0,0.0,956.075678139959,0.0,0.0,1.0,0.0,64,1
31962,0.002034902572631836,1,1,92,140,92.0,0.0,140.0,0.0,0.0,0.0,982.8480374926772,0.0,0.0,1.0,0.0,64,1
31361,0.0020809173583984375,1,1,71,264,71.0,0.0,264.0,0.0,0.0,0.0,961.1145737855179,0.0,0.0,1.0,0.0,64,1
51521,0.0039501190185546875,2,2,166,684,83.0,0.0,342.0,0.0,0.0020360946655273438,0.0,1012.6277160791888,0.0,0.0,1.0,0.0,64,1
51521,0.005220890045166016,2,2,166,684,83.0,0.0,342.0,0.0,0.001993894577026367,0.0,766.1528906749475,0.0,0.0,1.0,0.0,64,1
31061,0.0018618106842041016,1,1,83,342,83.0,0.0,342.0,0.0,0.0,0.0,1074.2230759380202,0.0,0.0,1.0,0.0,64,1
