sport,dur,pkts_fwd,pkts_bwd,bytes_fwd,bytes_bwd,pktlen_fwd_mean,pktlen_fwd_std,pktlen_bwd_mean,pktlen_bwd_std,iat_fwd_mean,iat_fwd_std,pps,payload_entropy_fwd,iat_cv_fwd,small_pkt_ratio_fwd,small_pkt_ratio_bwd,ttl_fwd_first,label
53193,0.005201101303100586,1,1,75,279,75.0,0.0,279.0,0.0,0.0,0.0,384.5339445335778,0.0,0.0,1.0,0.0,64,1
47937,0.005567073822021484,1,1,75,279,75.0,0.0,279.0,0.0,0.0,0.0,359.25516059957175,0.0,0.0,1.0,0.0,64,1
42130,0.008296012878417969,1,1,110,126,110.0,0.0,126.0,0.0,0.0,0.0,241.07966432923325,0.0,0.0,0.0,0.0,64,1
59424,0.014444112777709961,1,1,75,279,75.0,0.0,279.0,0.0,0.0,0.0,138.46471782513245,0.0,0.0,1.0,0.0,64,1
48877,0.005340099334716797,1,1,75,279,75.0,0.0,279.0,0.0,0.0,0.0,374.52486829181174,0.0,0.0,1.0,0.0,64,1
56663,0.006484031677246094,1,1,85,192,85.0,0.0,192.0,0.0,0.0,0.0,308.45006618620386,0.0,0.0,1.0,0.0,64,1
42795,0.0064258575439453125,1,1,75,279,75.0,0.0,279.0,0.0,0.0,0.0,311.2425051944197,0.0,0.0,1.0,0.0,64,1
44505,0.005983829498291016,1,1,75,279,75.0,0.0,279.0,0.0,0.0,0.0,334.234122240816,0.0,0.0,1.0,0.0,64,1
34511,0.0059850215911865234,1,1,75,279,75.0,0.0,279.0,0.0,0.0,0.0,334.16754969525556,0.0,0.0,1.0,0.0,64,1
47143,0.006865978240966797,1,1,75,279,75.0,0.0,279.0,0.0,0.0,0.0,291.2913396763664,0.0,0.0,1.0,0.0,64,1
